"year","id_","age","sex","race","hompop","moredays","hrsrelax","wkageism","wkracism","wksexism","mntlhlth","wealth","wkageism_bin","wkracism_bin","wksexism_bin"
2018,685,34,"MALE","White",2,5,8,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,755,27,"MALE","White",1,1,8,"NO","NO","NO",0,"$20,000 to $40,000",0,0,0
2018,291,59,"MALE","White",2,12,2,"NO","NO","NO",1,"$150,000 to $250,000",0,0,0
2018,856,53,"FEMALE","White",2,2,2,"NO","NO","NO",5,"$500,000 to $1 million",0,0,0
2018,313,58,"MALE","White",2,5,3,"NO","NO","NO",0,"$2 million to $3 million",0,0,0
2018,1560,32,"FEMALE","Black",2,4,0,"NO","YES","NO",7,"$75,000 to $100,000",0,1,0
2018,1907,51,"MALE","White",1,6,9,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,2238,53,"FEMALE","White",2,0,2,"NO","NO","NO",15,"$20,000 to $40,000",0,0,0
2018,2122,52,"FEMALE","White",2,4,0,"NO","NO","NO",2,"$20,000 to $40,000",0,0,0
2018,2153,34,"FEMALE","White",8,0,16,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,1733,69,"MALE","White",3,0,5,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,1084,33,"FEMALE","White",6,0,4,"NO","NO","NO",0,"Unknown",0,0,0
2018,989,60,"FEMALE","White",2,0,18,"NO","NO","NO",20,"$250,000 to $500,000",0,0,0
2018,1154,50,"MALE","Black",3,0,1,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,1685,46,"FEMALE","White",3,2,5,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,1853,27,"MALE","White",2,5,2,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,1583,32,"MALE","White",2,25,4,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,581,30,"FEMALE","White",1,6,3,"NO","NO","NO",10,"$40,000 to $75,000",0,0,0
2018,1694,57,"FEMALE","White",1,0,8,"NO","NO","NO",25,"$250,000 to $500,000",0,0,0
2018,1391,38,"MALE","White",2,5,2,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,41,65,"FEMALE","White",1,0,5,"NO","NO","NO",7,"$5,000 to $20,000",0,0,0
2018,845,56,"MALE","White",2,4,4,"NO","NO","NO",0,"$500,000 to $1 million",0,0,0
2018,357,34,"FEMALE","Black",1,0,3,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,1549,42,"MALE","White",2,5,1,"NO","NO","NO",0,"Unknown",0,0,0
2018,977,41,"MALE","White",2,30,1,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,915,35,"MALE","White",1,1,5,"NO","NO","NO",30,"$5,000 to $20,000",0,0,0
2018,623,41,"FEMALE","White",3,15,1,"NO","NO","NO",2,"$150,000 to $250,000",0,0,0
2018,1397,44,"MALE","White",1,30,2,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,1937,56,"FEMALE","White",2,3,3,"NO","NO","NO",10,"$250,000 to $500,000",0,0,0
2018,887,57,"MALE","White",3,2,6,"NO","NO","NO",0,"$150,000 to $250,000",0,0,0
2018,796,74,"FEMALE","Black",2,2,4,"NO","NO","NO",5,"$5,000 to $20,000",0,0,0
2018,1501,29,"MALE","White",1,0,3,"NO","NO","NO",0,"$20,000 to $40,000",0,0,0
2018,1558,44,"FEMALE","White",3,15,2,"NO","NO","NO",0,"Unknown",0,0,0
2018,1749,25,"MALE","White",3,4,2,"NO","NO","NO",2,"$5,000 to $20,000",0,0,0
2018,1535,35,"MALE","Other",3,5,2,"NO","NO","NO",0,"Unknown",0,0,0
2018,1587,20,"MALE","Black",4,0,4,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,522,60,"FEMALE","White",2,3,5,"NO","NO","NO",7,"$250,000 to $500,000",0,0,0
2018,1927,27,"MALE","White",3,0,8,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,2107,63,"MALE","White",2,5,5,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,272,48,"MALE","White",3,0,8,"NO","YES","NO",0,"$5,000 to $20,000",0,1,0
2018,365,44,"MALE","White",3,5,2,"NO","NO","NO",15,"$250,000 to $500,000",0,0,0
2018,2225,27,"FEMALE","White",2,2,5,"NO","NO","NO",3,"Unknown",0,0,0
2018,963,36,"MALE","Black",5,20,2,"NO","NO","NO",2,"$40,000 to $75,000",0,0,0
2018,120,32,"MALE","White",2,2,5,"NO","NO","NO",1,"$20,000 to $40,000",0,0,0
2018,971,32,"MALE","White",2,3,3,"NO","NO","NO",2,"$20,000 to $40,000",0,0,0
2018,232,42,"FEMALE","White",1,1,4,"NO","NO","NO",6,"$5,000 to $20,000",0,0,0
2018,1177,35,"MALE","White",3,0,4,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,1425,58,"FEMALE","White",2,2,1,"NO","NO","NO",0,"$150,000 to $250,000",0,0,0
2018,247,29,"MALE","Other",4,10,0,"NO","NO","NO",5,"$40,000 to $75,000",0,0,0
2018,499,53,"MALE","White",3,0,3,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,470,70,"FEMALE","White",1,3,12,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,72,37,"MALE","Black",2,20,2,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,713,28,"FEMALE","White",1,0,3,"NO","NO","NO",0,"Unknown",0,0,0
2018,142,34,"MALE","White",2,15,4,"NO","NO","NO",3,"$20,000 to $40,000",0,0,0
2018,531,26,"FEMALE","Black",1,0,5,"NO","NO","NO",0,"$20,000 to $40,000",0,0,0
2018,2105,46,"MALE","Other",2,15,6,"NO","NO","NO",0,"$100,000 to $150,000",0,0,0
2018,861,35,"MALE","Black",2,3,4,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,1904,43,"MALE","White",2,30,4,"NO","NO","NO",0,"$100,000 to $150,000",0,0,0
2018,1267,60,"FEMALE","White",1,0,7,"NO","NO","NO",3,"$40,000 to $75,000",0,0,0
2018,1228,25,"FEMALE","White",3,25,3,"NO","NO","NO",5,"$5,000 to $20,000",0,0,0
2018,746,57,"FEMALE","Black",1,30,5,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,985,46,"MALE","White",4,20,1,"NO","NO","NO",4,"$1 million to $2 million",0,0,0
2018,1771,54,"MALE","White",1,0,4,"NO","NO","NO",0,"$500,000 to $1 million",0,0,0
2018,1966,32,"FEMALE","White",5,0,4,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,1233,27,"MALE","White",2,1,0,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,2077,28,"MALE","White",1,20,4,"NO","NO","NO",3,"$20,000 to $40,000",0,0,0
2018,624,34,"MALE","Other",4,20,1,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,56,55,"MALE","White",2,1,5,"NO","NO","NO",0,"$2 million to $3 million",0,0,0
2018,841,47,"FEMALE","Other",5,0,1,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,20,30,"MALE","White",4,15,4,"NO","NO","NO",9,"$100,000 to $150,000",0,0,0
2018,115,70,"MALE","White",2,2,5,"NO","NO","NO",0,"$2 million to $3 million",0,0,0
2018,1236,48,"MALE","White",1,0,2,"YES","YES","NO",30,"$250,000 to $500,000",1,1,0
2018,676,22,"MALE","White",4,4,6,"YES","NO","NO",25,"$20,000 to $40,000",1,0,0
2018,1851,35,"MALE","Black",7,12,2,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,1544,62,"FEMALE","White",1,1,20,"YES","NO","NO",20,"$5,000 to $20,000",1,0,0
2018,1678,30,"FEMALE","White",3,2,4,"NO","NO","NO",10,"Less than $5,000",0,0,0
2018,877,45,"MALE","White",4,0,4,"NO","NO","NO",0,"$100,000 to $150,000",0,0,0
2018,1641,86,"FEMALE","White",1,0,0,"NO","NO","NO",0,"$150,000 to $250,000",0,0,0
2018,495,35,"FEMALE","White",1,3,3,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,1092,39,"MALE","Other",4,0,2,"NO","NO","NO",0,"$500,000 to $1 million",0,0,0
2018,196,60,"MALE","White",1,16,2,"NO","NO","YES",3,"$1 million to $2 million",0,0,1
2018,1896,61,"FEMALE","White",5,5,8,"NO","NO","NO",5,"$20,000 to $40,000",0,0,0
2018,1965,30,"MALE","Other",5,3,2,"NO","NO","NO",0,"$100,000 to $150,000",0,0,0
2018,1808,26,"FEMALE","White",1,0,2,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,782,70,"MALE","White",1,4,3,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,111,55,"FEMALE","White",1,3,2,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,1689,59,"FEMALE","White",1,0,5,"YES","NO","NO",2,"Less than $5,000",1,0,0
2018,1842,72,"FEMALE","White",1,3,8,"NO","NO","NO",0,"$1 million to $2 million",0,0,0
2018,271,51,"MALE","Other",1,4,4,"NO","NO","NO",2,"$75,000 to $100,000",0,0,0
2018,1791,47,"FEMALE","White",3,4,5,"NO","NO","NO",0,"$100,000 to $150,000",0,0,0
2018,1824,60,"MALE","White",2,8,8,"NO","NO","NO",0,"Unknown",0,0,0
2018,2016,53,"FEMALE","White",1,2,1,"NO","NO","NO",1,"$5,000 to $20,000",0,0,0
2018,401,34,"MALE","White",1,0,3,"NO","NO","NO",2,"$150,000 to $250,000",0,0,0
2018,1001,28,"FEMALE","White",2,0,6,"NO","NO","NO",1,"$100,000 to $150,000",0,0,0
2018,555,41,"FEMALE","White",2,2,0,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,1189,68,"FEMALE","White",2,0,6,"NO","NO","NO",0,"$500,000 to $1 million",0,0,0
2018,207,47,"MALE","White",2,2,8,"NO","NO","NO",14,"$250,000 to $500,000",0,0,0
2018,358,39,"MALE","Black",2,0,1,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,1111,57,"FEMALE","White",4,20,4,"NO","NO","NO",3,"$5,000 to $20,000",0,0,0
2018,1339,42,"MALE","White",2,2,2,"NO","NO","NO",0,"$150,000 to $250,000",0,0,0
2018,1548,60,"MALE","Other",2,0,2,"NO","NO","NO",10,"$5,000 to $20,000",0,0,0
2018,1458,48,"FEMALE","Black",2,26,3,"NO","NO","NO",3,"$150,000 to $250,000",0,0,0
2018,416,32,"MALE","White",2,10,1,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,1404,37,"FEMALE","White",1,2,6,"NO","NO","NO",14,"$40,000 to $75,000",0,0,0
2018,1899,55,"FEMALE","Other",6,20,3,"NO","NO","NO",0,"Unknown",0,0,0
2018,2191,40,"MALE","White",3,10,4,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,1013,55,"FEMALE","White",2,5,2,"NO","NO","YES",2,"$250,000 to $500,000",0,0,1
2018,778,28,"MALE","White",4,0,6,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,245,22,"FEMALE","White",1,1,0,"YES","YES","YES",30,"Less than $5,000",1,1,1
2018,1085,69,"FEMALE","White",1,0,4,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,1256,47,"MALE","White",4,22,3,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,264,54,"FEMALE","White",3,3,2,"NO","NO","NO",2,"$150,000 to $250,000",0,0,0
2018,257,36,"MALE","Other",8,12,2,"NO","NO","NO",30,"$5,000 to $20,000",0,0,0
2018,704,53,"FEMALE","White",4,0,3,"NO","NO","NO",0,"Unknown",0,0,0
2018,1722,62,"MALE","White",1,3,4,"NO","NO","NO",0,"Unknown",0,0,0
2018,551,65,"MALE","White",2,1,8,"NO","NO","NO",1,"$250,000 to $500,000",0,0,0
2018,1292,30,"MALE","White",2,2,3,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,1644,42,"MALE","White",4,3,0,"NO","NO","NO",0,"$100,000 to $150,000",0,0,0
2018,67,34,"MALE","White",1,0,0,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,1354,29,"MALE","White",4,5,2,"NO","NO","NO",5,"Less than $5,000",0,0,0
2018,1649,30,"FEMALE","White",1,2,5,"YES","NO","NO",5,"Less than $5,000",1,0,0
2018,226,29,"FEMALE","White",4,2,1,"NO","NO","NO",15,"$5,000 to $20,000",0,0,0
2018,745,18,"MALE","White",3,0,8,"NO","NO","NO",0,"Unknown",0,0,0
2018,972,54,"FEMALE","White",2,2,4,"NO","NO","NO",10,"$75,000 to $100,000",0,0,0
2018,1837,73,"FEMALE","White",2,4,3,"NO","NO","NO",0,"Unknown",0,0,0
2018,2124,39,"MALE","White",5,2,5,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,314,42,"MALE","White",2,5,1,"NO","NO","NO",0,"$500,000 to $1 million",0,0,0
2018,1104,19,"MALE","White",2,4,2,"NO","NO","NO",30,"$20,000 to $40,000",0,0,0
2018,811,32,"MALE","White",2,0,5,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,2126,30,"FEMALE","White",2,5,4,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,574,27,"MALE","Black",1,4,10,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,749,30,"MALE","Black",1,30,2,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,1567,51,"MALE","Black",1,10,4,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,1745,63,"FEMALE","White",1,0,4,"NO","NO","NO",10,"$40,000 to $75,000",0,0,0
2018,1447,49,"MALE","Black",1,1,5,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,2336,54,"FEMALE","White",4,6,2,"NO","NO","NO",3,"$1 million to $2 million",0,0,0
2018,1975,38,"FEMALE","White",7,0,2,"NO","NO","NO",3,"Unknown",0,0,0
2018,1792,52,"FEMALE","White",2,0,4,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,1454,48,"FEMALE","White",2,30,1,"NO","NO","NO",15,"$100,000 to $150,000",0,0,0
2018,871,42,"FEMALE","Black",4,4,2,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,288,39,"FEMALE","White",3,0,1,"NO","NO","YES",0,"Unknown",0,0,1
2018,914,53,"MALE","White",1,4,2,"NO","NO","NO",0,"$150,000 to $250,000",0,0,0
2018,1372,60,"MALE","White",2,20,4,"NO","NO","NO",2,"$150,000 to $250,000",0,0,0
2018,135,60,"MALE","White",2,2,4,"YES","NO","NO",20,"$2 million to $3 million",1,0,0
2018,1033,54,"MALE","White",1,15,2,"NO","NO","NO",0,"$100,000 to $150,000",0,0,0
2018,982,43,"FEMALE","White",3,2,5,"NO","NO","NO",2,"$250,000 to $500,000",0,0,0
2018,1148,29,"FEMALE","Other",4,0,3,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,2145,43,"MALE","White",2,5,10,"NO","NO","NO",0,"Unknown",0,0,0
2018,1155,55,"MALE","Black",1,2,10,"NO","NO","YES",1,"$150,000 to $250,000",0,0,1
2018,1157,22,"MALE","Other",1,2,2,"YES","NO","NO",5,"$20,000 to $40,000",1,0,0
2018,1093,27,"MALE","White",2,0,4,"NO","NO","NO",1,"Unknown",0,0,0
2018,1704,19,"FEMALE","Black",1,1,0,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,662,33,"MALE","Black",1,30,3,"NO","NO","NO",0,"$100,000 to $150,000",0,0,0
2018,1688,55,"MALE","White",1,0,4,"NO","NO","NO",0,"$75,000 to $100,000",0,0,0
2018,2227,32,"FEMALE","White",1,1,5,"NO","NO","NO",5,"$150,000 to $250,000",0,0,0
2018,637,28,"FEMALE","Other",3,3,1,"NO","YES","NO",0,"$20,000 to $40,000",0,1,0
2018,69,32,"FEMALE","Black",1,20,2,"YES","YES","YES",0,"$150,000 to $250,000",1,1,1
2018,849,58,"MALE","White",2,0,8,"NO","NO","NO",3,"$20,000 to $40,000",0,0,0
2018,771,58,"MALE","White",1,4,1,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,322,53,"MALE","Black",3,2,5,"NO","NO","NO",0,"Unknown",0,0,0
2018,1914,43,"MALE","White",1,15,2,"NO","NO","NO",10,"$250,000 to $500,000",0,0,0
2018,448,34,"FEMALE","Black",1,0,1,"YES","YES","YES",5,"$250,000 to $500,000",1,1,1
2018,1272,57,"MALE","White",1,3,2,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,301,46,"FEMALE","Black",2,2,3,"NO","NO","YES",2,"$75,000 to $100,000",0,0,1
2018,748,25,"FEMALE","Black",3,0,4,"NO","YES","YES",0,"$5,000 to $20,000",0,1,1
2018,1957,49,"FEMALE","White",1,20,5,"NO","NO","NO",4,"$250,000 to $500,000",0,0,0
2018,1376,29,"FEMALE","White",2,2,1,"NO","YES","YES",14,"$20,000 to $40,000",0,1,1
2018,1796,36,"MALE","White",5,1,4,"NO","NO","NO",10,"$150,000 to $250,000",0,0,0
2018,1528,46,"MALE","White",2,0,3,"NO","NO","NO",0,"Unknown",0,0,0
2018,398,69,"MALE","White",2,2,1,"NO","NO","NO",0,"$1 million to $2 million",0,0,0
2018,300,44,"FEMALE","Black",1,7,1,"NO","NO","NO",0,"Unknown",0,0,0
2018,682,71,"FEMALE","Black",2,2,4,"NO","NO","NO",0,"Unknown",0,0,0
2018,1025,34,"MALE","White",8,7,1,"NO","NO","NO",0,"$500,000 to $1 million",0,0,0
2018,2038,36,"MALE","White",1,20,2,"NO","NO","NO",20,"Less than $5,000",0,0,0
2018,2025,44,"MALE","White",4,5,8,"NO","NO","NO",0,"$500,000 to $1 million",0,0,0
2018,341,60,"MALE","White",1,10,3,"NO","NO","NO",15,"$75,000 to $100,000",0,0,0
2018,1277,39,"FEMALE","Other",4,0,1,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,928,51,"MALE","White",2,0,0,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,1301,56,"MALE","White",1,0,6,"NO","NO","NO",5,"$500,000 to $1 million",0,0,0
2018,2199,39,"MALE","White",1,0,4,"NO","NO","NO",10,"$5,000 to $20,000",0,0,0
2018,2135,25,"FEMALE","White",2,2,3,"NO","NO","NO",1,"$40,000 to $75,000",0,0,0
2018,765,44,"MALE","White",2,10,5,"NO","NO","NO",0,"$500,000 to $1 million",0,0,0
2018,1529,34,"MALE","White",4,3,4,"NO","NO","NO",0,"$20,000 to $40,000",0,0,0
2018,1800,24,"MALE","Black",1,30,0,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,747,65,"FEMALE","White",1,1,8,"YES","NO","NO",30,"$20,000 to $40,000",1,0,0
2018,1011,39,"FEMALE","White",2,1,5,"NO","NO","NO",29,"Less than $5,000",0,0,0
2018,590,50,"FEMALE","Black",3,2,2,"NO","NO","NO",0,"$150,000 to $250,000",0,0,0
2018,474,43,"MALE","White",2,20,2,"NO","NO","NO",0,"$150,000 to $250,000",0,0,0
2018,461,28,"MALE","White",2,4,4,"NO","NO","NO",0,"$40,000 to $75,000",0,0,0
2018,2157,53,"MALE","White",2,20,0,"NO","NO","NO",2,"$150,000 to $250,000",0,0,0
2018,1058,65,"MALE","White",3,4,4,"NO","NO","NO",0,"$150,000 to $250,000",0,0,0
2018,579,45,"FEMALE","Black",2,0,2,"NO","NO","NO",0,"Less than $5,000",0,0,0
2018,1921,31,"FEMALE","White",2,0,8,"NO","NO","NO",7,"$250,000 to $500,000",0,0,0
2018,368,27,"FEMALE","White",2,4,4,"NO","NO","NO",1,"Unknown",0,0,0
2018,1012,26,"FEMALE","Black",1,4,6,"NO","NO","NO",0,"$5,000 to $20,000",0,0,0
2018,1131,23,"MALE","Black",1,2,21,"NO","NO","NO",3,"Less than $5,000",0,0,0
2018,565,28,"MALE","White",2,0,0,"NO","NO","NO",1,"$5,000 to $20,000",0,0,0
2018,1309,30,"MALE","Black",3,5,4,"NO","NO","NO",3,"Less than $5,000",0,0,0
2018,2295,23,"FEMALE","Black",2,2,2,"YES","NO","NO",30,"Less than $5,000",1,0,0
2018,882,42,"FEMALE","White",4,3,2,"NO","NO","NO",3,"$250,000 to $500,000",0,0,0
2018,1638,33,"MALE","White",2,3,4,"NO","NO","NO",0,"$250,000 to $500,000",0,0,0
2018,2261,24,"FEMALE","Black",3,15,3,"YES","YES","YES",4,"$20,000 to $40,000",1,1,1
2018,1182,37,"MALE","White",1,0,9,"NO","NO","NO",3,"$20,000 to $40,000",0,0,0
2018,2189,37,"MALE","White",3,5,1,"NO","NO","NO",20,"$100,000 to $150,000",0,0,0
2018,1429,52,"FEMALE","White",2,0,3,"NO","NO","NO",3,"$40,000 to $75,000",0,0,0
